calciatore,ruolo,squadra,fantasquadra,costo,budget_lega,costo_pct,costo_normalizzato_1000,anno_asta,stagione_asta,prev_season
Handanovic,P,Int,A Riprovamoce Fc,20.0,250.0,8.0,80.0,2021,2021-22,2020-21
Berisha,P,Tor,A Riprovamoce Fc,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Radu I.,P,Int,A Riprovamoce Fc,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Cordaz,P,Int,A Riprovamoce Fc,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Milinkovic-Savic V.,P,Tor,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Berardi A.,P,Ver,A Riprovamoce Fc,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Gemello,P,Tor,A Riprovamoce Fc,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Montipo',P,Ver,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Pandur,P,Ver,A Riprovamoce Fc,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Mario Rui,D,Nap,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Alex Sandro,D,Juv,A Riprovamoce Fc,4.0,250.0,1.6,16.0,2021,2021-22,2020-21
Ferrari G.,D,Sas,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Mancini,D,Rom,A Riprovamoce Fc,12.0,250.0,4.8,48.0,2021,2021-22,2020-21
Stryger Larsen,D,Udi,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Nastasic,D,Fio,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Hernandez T.,D,Mil,A Riprovamoce Fc,30.0,250.0,12.0,120.0,2021,2021-22,2020-21
Dumfries,D,Int,A Riprovamoce Fc,3.0,250.0,1.2,12.0,2021,2021-22,2020-21
Perisic,C,Int,A Riprovamoce Fc,3.0,250.0,1.2,12.0,2021,2021-22,2020-21
Chiesa,C,Juv,A Riprovamoce Fc,50.0,250.0,20.0,200.0,2021,2021-22,2020-21
Veretout,C,Rom,A Riprovamoce Fc,38.0,250.0,15.2,152.0,2021,2021-22,2020-21
Hernani,C,Gen,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Saelemaekers,C,Mil,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Damsgaard,C,Sam,A Riprovamoce Fc,2.0,250.0,0.8,8.0,2021,2021-22,2020-21
Miranchuk,C,Ata,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Ilic,C,Ver,A Riprovamoce Fc,3.0,250.0,1.2,12.0,2021,2021-22,2020-21
Dybala,A,Juv,A Riprovamoce Fc,36.0,250.0,14.4,144.0,2021,2021-22,2020-21
Insigne,A,Nap,A Riprovamoce Fc,32.0,250.0,12.8,128.0,2021,2021-22,2020-21
Cutrone,A,Emp,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Pedro,A,Laz,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Barrow,A,Bol,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Raspadori,A,Sas,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Sportiello,P,Ata,LEICESTA FC,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Marchetti,P,Gen,LEICESTA FC,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Sirigu,P,Gen,LEICESTA FC,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Rossi F.,P,Ata,LEICESTA FC,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Fuzato,P,Rom,LEICESTA FC,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Musso,P,Ata,LEICESTA FC,13.0,250.0,5.2,52.0,2021,2021-22,2020-21
Semper,P,Gen,LEICESTA FC,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Rui Patricio,P,Rom,LEICESTA FC,11.0,250.0,4.4,44.0,2021,2021-22,2020-21
Andrenacci,P,Gen,LEICESTA FC,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Boer,P,Rom,LEICESTA FC,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
De Vrij,D,Int,LEICESTA FC,9.0,250.0,3.6,36.0,2021,2021-22,2020-21
Florenzi,D,Mil,LEICESTA FC,2.0,250.0,0.8,8.0,2021,2021-22,2020-21
Acerbi,D,Laz,LEICESTA FC,6.0,250.0,2.4,24.0,2021,2021-22,2020-21
Zappacosta,D,Ata,LEICESTA FC,3.0,250.0,1.2,12.0,2021,2021-22,2020-21
Spinazzola,D,Rom,LEICESTA FC,6.0,250.0,2.4,24.0,2021,2021-22,2020-21
Criscito,D,Gen,LEICESTA FC,8.0,250.0,3.2,32.0,2021,2021-22,2020-21
Maehle,D,Ata,LEICESTA FC,8.0,250.0,3.2,32.0,2021,2021-22,2020-21
Vina,D,Rom,LEICESTA FC,3.0,250.0,1.2,12.0,2021,2021-22,2020-21
Zielinski,C,Nap,LEICESTA FC,19.0,250.0,7.6,76.0,2021,2021-22,2020-21
Pereyra,C,Udi,LEICESTA FC,14.0,250.0,5.6,56.0,2021,2021-22,2020-21
Bonaventura,C,Fio,LEICESTA FC,2.0,250.0,0.8,8.0,2021,2021-22,2020-21
Zaccagni,C,Laz,LEICESTA FC,9.0,250.0,3.6,36.0,2021,2021-22,2020-21
Freuler,C,Ata,LEICESTA FC,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Kessie',C,Mil,LEICESTA FC,22.0,250.0,8.8,88.0,2021,2021-22,2020-21
Djuricic,C,Sas,LEICESTA FC,10.0,250.0,4.0,40.0,2021,2021-22,2020-21
Mckennie,C,Juv,LEICESTA FC,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Mertens,A,Nap,LEICESTA FC,5.0,250.0,2.0,20.0,2021,2021-22,2020-21
Muriel,A,Ata,LEICESTA FC,34.0,250.0,13.6,136.0,2021,2021-22,2020-21
Abraham,A,Rom,LEICESTA FC,23.0,250.0,9.2,92.0,2021,2021-22,2020-21
Giroud,A,Mil,LEICESTA FC,13.0,250.0,5.2,52.0,2021,2021-22,2020-21
Osimhen,A,Nap,LEICESTA FC,25.0,250.0,10.0,100.0,2021,2021-22,2020-21
Shomurodov,A,Rom,LEICESTA FC,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Ujkani,P,Emp,polyflex,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Reina,P,Laz,polyflex,16.0,250.0,6.4,64.0,2021,2021-22,2020-21
Padelli,P,Udi,polyflex,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Strakosha,P,Laz,polyflex,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Silvestri,P,Udi,polyflex,4.0,250.0,1.6,16.0,2021,2021-22,2020-21
Vicario,P,Emp,polyflex,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Furlan,P,Emp,polyflex,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Adamonis,P,Laz,polyflex,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Piana,P,Udi,polyflex,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Luperto,D,Emp,polyflex,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Skriniar,D,Int,polyflex,12.0,250.0,4.8,48.0,2021,2021-22,2020-21
Karsdorp,D,Rom,polyflex,4.0,250.0,1.6,16.0,2021,2021-22,2020-21
Darmian,D,Int,polyflex,4.0,250.0,1.6,16.0,2021,2021-22,2020-21
Kjaer,D,Mil,polyflex,5.0,250.0,2.0,20.0,2021,2021-22,2020-21
Di Lorenzo,D,Nap,polyflex,4.0,250.0,1.6,16.0,2021,2021-22,2020-21
