player_id,stagione,nome,ruolo,ruolo_mantra,squadra,quotazione_attuale,quotazione_iniziale,diff_quotazione,fvm,ceduto,indice_finale,rank_ruolo,totale_ruolo,rank_generale,totale_generale,performance_score,reliability_score,forma_attuale_score,titolarita_score,presenze_pesate,fantamedia,media_voto,presenze_totali,presenza_pct,presenze_medie,gol_stagione,assist_stagione,gs_stagione,rigori_parati,varianza_voto,varianza_gol,ammonizioni,espulsioni,titolarita,is_titolare,infortunato,desc_infortunio,squalificato,rigorista_pos,punizioni_pos,updated_at
5841,2026-27,Svilar,P,Por,ROMA,19,18,1,85,False,73.99,3.0,71.0,14.0,560.0,63.14,80.16,30.95,68.84,26.16,5.41,6.31,96,50.5,19.2,0.0,0.0,17.6,0.2,0.207,0.0,0.6,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
4431,2026-27,Carnesecchi,P,Por,ATALANTA,17,16,1,55,False,76.71,2.0,71.0,7.0,560.0,64.07,86.94,50.0,79.18,30.09,5.27,6.32,127,66.8,25.4,0.0,0.4,29.4,0.8,0.292,0.0,0.4,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
5116,2026-27,Martinez Jo.,P,Por,INTER,17,17,0,68,False,50.05,20.0,71.0,178.0,560.0,37.43,39.53,21.43,26.84,10.2,5.09,6.14,48,31.6,12.0,0.0,0.0,12.8,0.2,0.178,0.0,0.5,0.2,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
4964,2026-27,Vicario,P,Por,JUVENTUS,17,16,1,70,False,60.35,13.0,71.0,104.0,560.0,60.64,48.39,30.95,17.79,6.76,4.97,6.41,71,62.3,23.7,0.0,0.0,36.3,1.0,0.288,0.0,1.3,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
6966,2026-27,Butez,P,Por,COMO,15,16,-1,50,False,54.07,15.0,71.0,140.0,560.0,37.07,52.5,14.29,47.5,18.05,5.29,6.11,59,51.8,19.7,0.0,0.3,17.0,0.3,0.139,0.0,1.0,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
4312,2026-27,Maignan,P,Por,MILAN,15,15,0,52,False,68.71,5.0,71.0,41.0,560.0,51.79,82.71,21.43,87.37,33.2,5.28,6.19,159,69.7,26.5,0.0,0.3,25.5,0.7,0.277,0.0,1.2,0.2,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
2521,2026-27,De Gea,P,Por,FIORENTINA,11,13,-2,30,False,67.28,6.0,71.0,53.0,560.0,61.0,71.41,4.76,57.11,21.7,5.11,6.26,74,64.9,24.7,0.0,0.0,31.3,1.0,0.337,0.0,0.3,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
572,2026-27,Meret,P,Por,NAPOLI,11,11,0,48,False,64.85,9.0,71.0,67.0,560.0,50.43,68.04,21.43,61.03,23.19,5.37,6.17,119,52.2,19.8,0.0,0.2,18.2,0.8,0.231,0.0,0.2,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
133,2026-27,Skorupski,P,Por,BOLOGNA,10,10,0,32,False,65.14,8.0,71.0,63.0,560.0,51.36,74.27,9.52,70.45,26.77,5.05,6.18,152,66.7,25.3,0.0,0.0,30.2,0.8,0.284,0.0,2.0,0.2,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
4360,2026-27,Caprile,P,Por,CAGLIARI,10,9,1,25,False,69.6,4.0,71.0,36.0,560.0,59.43,73.52,47.62,61.58,23.4,5.06,6.26,85,55.9,21.2,0.0,0.0,26.0,0.2,0.277,0.0,0.5,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
6482,2026-27,Mandas,P,Por,LAZIO,10,9,1,36,False,53.33,17.0,71.0,147.0,560.0,54.79,39.79,30.95,10.13,3.85,5.58,6.26,19,16.7,6.3,0.0,0.0,4.3,0.0,0.094,0.0,0.0,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
6462,2026-27,Okoye,P,Por,UDINESE,9,9,0,28,False,51.5,19.0,71.0,163.0,560.0,29.36,51.94,30.95,55.13,20.95,4.81,6.11,78,51.3,19.5,0.0,0.2,25.0,0.2,0.238,0.0,1.0,0.2,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
6534,2026-27,Perri,P,Por,TORINO,9,9,0,26,False,16.62,45.0,71.0,453.0,560.0,0.0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
