giocatore,squadra,posizione
Scamacca,Atalanta,1
Krstovic,Atalanta,2
Samardzic,Atalanta,3
Orsolini,Bologna,1
Bernardeschi,Bologna,2
Dovbyk,Bologna,3
Kevin Carlos,Cagliari,1
Maldini,Cagliari,2
Mina,Cagliari,3
Da Cunha,Como,1
Douvikas,Como,2
Paz N.,Como,3
Gudmundsson A.,Fiorentina,1
Mandragora,Fiorentina,2
Calò,Frosinone,1
Schmid,Frosinone,2
Bobcek,Frosinone,3
Colombo,Genoa,1
Ostigard,Genoa,2
Vitinha O.,Genoa,3
Calhanoglu,Inter,1
Zielinski,Inter,2
Martinez L.,Inter,3
Kolo Muani,Juventus,1
Yildiz,Juventus,2
Locatelli,Juventus,3
Zaccagni,Lazio,1
Cataldi,Lazio,2
Geubbels,Lecce,1
Stulic,Lecce,2
Berisha M.,Lecce,3
Ramos G.,Milan,1
Pulisic,Milan,2
Modric,Milan,3
Pessina,Monza,1
Cutrone,Monza,2
Varela G.,Monza,3
De Bruyne,Napoli,1
Hojlund,Napoli,2
Politano,Napoli,3
Pellegrino M.,Parma,1
Tourè E.,Parma,2
Valeri,Parma,3
Bernabè,Parma,4
Malen,Roma,1
Dybala,Roma,2
Castro S.,Roma,3
Berardi,Sassuolo,1
Pinamonti,Sassuolo,2
Esposito Se.,Sassuolo,3
Laurientè,Sassuolo,4
Vlasic,Torino,1
Kulenovic,Torino,2
Simeone,Torino,3
Davis K.,Udinese,1
Solet,Udinese,2
Zaniolo,Udinese,3
Busio,Venezia,1
Adams A.,Venezia,2
Adorante,Venezia,3
