nome_giocatore,squadra,titolarita,squalificato,infortunato,desc_infortunio
Stankovic F.,Venezia,titolare,no,no,
Schingtienne,Venezia,titolare,no,no,
Halhal,Venezia,titolare,no,no,
Moreno M.,Venezia,titolare,no,no,
Hainaut,Venezia,titolare,no,no,
Perez K.,Venezia,titolare,no,no,
Busio,Venezia,titolare,no,no,
Basic,Venezia,titolare,no,no,
Haps,Venezia,titolare,no,no,
Yeboah J.,Venezia,titolare,no,no,
Adams A.,Venezia,titolare,no,no,
Montipò,Venezia,panchina,no,no,
Grandi,Venezia,panchina,no,no,
Pozzi,Venezia,panchina,no,no,
Mazzocchi,Venezia,panchina,no,no,
Gomes,Venezia,panchina,no,no,
Correia T.,Venezia,panchina,no,no,
Juan Jesus,Venezia,panchina,no,no,
Sagrado,Venezia,panchina,no,no,
Sohm,Venezia,panchina,no,no,
Dagasso,Venezia,panchina,no,no,
Helgason,Venezia,panchina,no,no,
Fernandez T.,Venezia,panchina,no,no,
Rrahmani Al.,Venezia,panchina,no,no,
Lauberbach,Venezia,panchina,no,no,
Lisman,Venezia,panchina,no,no,
Bella-Kotchap,Venezia,panchina,no,si,"noie muscolari, da valutare contro la Fiorentina"
Sverko,Venezia,panchina,no,si,"problema all'anca, rientro fine ottobre"
Franjic,Venezia,panchina,no,si,"problema alla spalla, out contro Fiorentina"
Adorante,Venezia,panchina,no,si,"problema alla schiena, rientro da ottobre"
De Gea,Fiorentina,titolare,no,no,
Joao Mario,Fiorentina,titolare,no,no,
Dragusin,Fiorentina,titolare,no,no,
Viery,Fiorentina,titolare,no,no,
Valdepenas,Fiorentina,titolare,no,no,
Ndour,Fiorentina,titolare,no,no,
Fagioli,Fiorentina,titolare,no,no,
Atta,Fiorentina,titolare,no,no,
Mastantuono,Fiorentina,titolare,no,no,
Njie,Fiorentina,titolare,no,no,
Pellegrino M.,Fiorentina,titolare,no,no,
Christensen O.,Fiorentina,panchina,no,no,
Lezzerini,Fiorentina,panchina,no,no,
Dodò,Fiorentina,panchina,no,no,
Jimenez A.,Fiorentina,panchina,no,no,
Ranieri L.,Fiorentina,panchina,no,no,
Pongracic,Fiorentina,panchina,no,no,
Brescianini,Fiorentina,panchina,no,no,
Oulai,Fiorentina,panchina,no,no,
Goncalves P.,Fiorentina,panchina,no,no,
Gnonto,Fiorentina,panchina,no,no,
Beto,Fiorentina,panchina,no,no,
Parisi,Fiorentina,panchina,no,si,"infortunio al legamento crociato, rientro da novembre"
Bijlow,Genoa,titolare,no,no,
Marcandalli,Genoa,titolare,no,no,
Ostigard,Genoa,titolare,no,no,
Vasquez,Genoa,titolare,no,no,
Ehizibue,Genoa,titolare,no,no,
Frendrup,Genoa,titolare,no,no,
Sow,Genoa,titolare,no,no,
Baldanzi,Genoa,titolare,no,no,
Ellertsson,Genoa,titolare,no,no,
Colombo,Genoa,titolare,no,no,
Osmajic,Genoa,titolare,no,no,
Stolz,Genoa,panchina,no,no,
Sommariva,Genoa,panchina,no,no,
Otoa,Genoa,panchina,no,no,
Mitaj,Genoa,panchina,no,no,
Puczka,Genoa,panchina,no,no,
Sabelli,Genoa,panchina,no,no,
Drameh,Genoa,panchina,no,no,
Amorim,Genoa,panchina,no,no,
Messias,Genoa,panchina,no,no,
Traorè Hj.,Genoa,panchina,no,no,
Meichtry,Genoa,panchina,no,no,
El Shaarawy,Genoa,panchina,no,no,
Vitinha O.,Genoa,panchina,no,no,
Robinho Junior,Genoa,panchina,no,no,
Havel,Genoa,panchina,no,no,
Venturino,Genoa,panchina,no,si,"problema al tendine rotuleo, ipotesi rientro fine ottobre"
Palmisani,Frosinone,titolare,no,no,
Oyono A.,Frosinone,titolare,no,no,
Monterisi,Frosinone,titolare,no,no,
Calvani,Frosinone,titolare,no,no,
Bracaglia,Frosinone,titolare,no,no,
Masini,Frosinone,titolare,no,no,
Calò,Frosinone,titolare,no,no,
Fini,Frosinone,titolare,no,no,
Schmid,Frosinone,titolare,no,no,
Kvernadze,Frosinone,titolare,no,no,
Raimondo,Frosinone,titolare,no,no,
Desplanches,Frosinone,panchina,no,no,
Cittadini,Frosinone,panchina,no,no,
Tchato,Frosinone,panchina,no,no,
Omar Fayed,Frosinone,panchina,no,no,
Terzic,Frosinone,panchina,no,no,
Amey,Frosinone,panchina,no,no,
Akpoguma,Frosinone,panchina,no,no,
Cichella,Frosinone,panchina,no,no,
Grillitsch,Frosinone,panchina,no,no,
Hasa,Frosinone,panchina,no,no,
El Azzouzi A.,Frosinone,panchina,no,no,
Zerbin,Frosinone,panchina,no,no,
Ghedjemis,Frosinone,panchina,no,no,
Birligea,Frosinone,panchina,no,no,
Bobcek,Frosinone,panchina,no,no,
Mandas,Lazio,titolare,no,no,
Floriani Mussolini,Lazio,titolare,no,no,
Doekhi,Lazio,titolare,no,no,
Provstgaard,Lazio,titolare,no,no,
Tavares N.,Lazio,titolare,no,no,
Frattesi,Lazio,titolare,no,no,
Belahyane,Lazio,titolare,no,no,
Taylor K.,Lazio,titolare,no,no,
Isaksen,Lazio,titolare,no,no,
Pinamonti,Lazio,titolare,no,no,
Zaccagni,Lazio,titolare,no,no,
Motta,Lazio,panchina,no,no,
Renzetti,Lazio,panchina,no,no,
Pedraza,Lazio,panchina,no,no,
Sutalo J.,Lazio,panchina,no,no,
Leite,Lazio,panchina,no,no,
Lazzari,Lazio,panchina,no,no,
Przyborek,Lazio,panchina,no,no,
Cancellieri,Lazio,panchina,no,no,
Gudmundsson A.,Lazio,panchina,no,no,
Noslin,Lazio,panchina,no,no,
Marusic,Lazio,panchina,no,si,"problema muscolare alla coscia destra, ipotesi rientro inizio ottobre"
Cataldi,Lazio,panchina,no,si,"ernia bilaterale, tentativo rientro metà settembre"
Rovella,Lazio,panchina,no,si,"problema muscolare al polpaccio, rientro prima metà di ottobre"
Dele-Bashiru,Lazio,panchina,no,si,"problema muscolare alla gamba, rientro da metà settembre"
Maignan,Milan,titolare,no,no,
Gila,Milan,titolare,no,no,
De Winter,Milan,titolare,no,no,
Pavlovic,Milan,titolare,no,no,
Moreira,Milan,titolare,no,no,
Modric,Milan,titolare,no,no,
Musah,Milan,titolare,no,no,
Estupinan,Milan,titolare,no,no,
Rabiot,Milan,titolare,no,no,
Cissè A.,Milan,titolare,no,no,
Ramos G.,Milan,titolare,no,no,
Terracciano,Milan,panchina,no,no,
Torriani,Milan,panchina,no,no,
Tomori,Milan,panchina,no,no,
Terracciano F.,Milan,panchina,no,no,
Bartesaghi,Milan,panchina,no,no,
Diawara S.,Milan,panchina,no,no,
Chukwueze,Milan,panchina,no,no,
Jashari,Milan,panchina,no,no,
Saelemaekers,Milan,panchina,no,no,
Hutchinson,Milan,panchina,no,no,
Comotto,Milan,panchina,no,no,
Pulisic,Milan,panchina,no,no,
Loftus-Cheek,Milan,panchina,no,no,
Camarda,Milan,panchina,no,no,
Gabbia,Milan,panchina,no,si,"problema alla caviglia, da valutare convocazione contro la Lazio"
Carnesecchi,Atalanta,titolare,no,no,
Bellanova,Atalanta,titolare,no,no,
Kossounou,Atalanta,titolare,no,no,
Scalvini,Atalanta,titolare,no,no,
Bernasconi,Atalanta,titolare,no,no,
Samardzic,Atalanta,titolare,no,no,
Kessiè,Atalanta,titolare,no,no,
Ederson D.S.,Atalanta,titolare,no,no,
De Ketelaere,Atalanta,titolare,no,no,
Scamacca,Atalanta,titolare,no,no,
Rowe,Atalanta,titolare,no,no,
Sportiello,Atalanta,panchina,no,no,
Pompei,Atalanta,panchina,no,no,
Kolasinac,Atalanta,panchina,no,no,
Zappacosta,Atalanta,panchina,no,no,
Kristensen T.,Atalanta,panchina,no,no,
Pasalic,Atalanta,panchina,no,no,
Elmas,Atalanta,panchina,no,no,
Zalewski,Atalanta,panchina,no,no,
Raspadori,Atalanta,panchina,no,no,
Krstovic,Atalanta,panchina,no,no,
Hien,Atalanta,panchina,no,si,"lesione del tendine prossimale del muscolo semimembranoso della coscia sinistra, rientro inizio ottobre"
Sulemana K.,Atalanta,panchina,no,si,"lesione del collaterale mediale di secondo grado del ginocchio sinistro, rientro da inizio ottobre"
Caprile,Cagliari,titolare,no,no,
Zè Pedro,Cagliari,titolare,no,no,
Deiola,Cagliari,titolare,no,no,
Rodriguez Ju.,Cagliari,titolare,no,no,
Obert,Cagliari,titolare,no,no,
Adopo,Cagliari,titolare,no,no,
Winks,Cagliari,titolare,no,no,
Romano,Cagliari,titolare,no,no,
Fazzini,Cagliari,titolare,no,no,
Maldini,Cagliari,titolare,no,no,
Mendy P.,Cagliari,titolare,no,no,
Radunovic,Cagliari,panchina,no,no,
Sherri,Cagliari,panchina,no,no,
Aurelio,Cagliari,panchina,no,no,
Sugawara,Cagliari,panchina,no,no,
Kofler,Cagliari,panchina,no,no,
Mina,Cagliari,panchina,no,no,
Liteta,Cagliari,panchina,no,no,
Ciervo,Cagliari,panchina,no,no,
Gagliardini,Cagliari,panchina,no,no,
Fadera,Cagliari,panchina,no,no,
Massolin,Cagliari,panchina,no,no,
Sugamele,Cagliari,panchina,no,no,
Nzola,Cagliari,panchina,no,no,
Kevin Carlos,Cagliari,panchina,no,no,
Idrissi R.,Cagliari,panchina,no,si,"rottura del legamento crociato, rientro da fine ottobre"
Felici,Cagliari,panchina,no,si,"rottura del legamento crociato anteriore, ipotesi rientro da marzo"
Trepy,Cagliari,panchina,no,si,"noie fisiche, out contro Atalanta"
Falcone,Lecce,titolare,no,no,
Veiga D.,Lecce,titolare,no,no,
